id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
10162883,Jolie appartement,27290358,Malik,,Batignolles-Monceau,48.87725697511289,2.291461716570245,Entire home/apt,132,2,0,,,1,26
960069,Arc de Triomphe/Champs Elysées Apt,5212633,G,,Batignolles-Monceau,48.87818468681869,2.295303876679937,Entire home/apt,129,1,39,2016-05-07,0.99,1,347
11130955,STUDIO  Arc de triomphe/ ternes,45570942,Emilie,,Batignolles-Monceau,48.879822583247304,2.2924380061122753,Entire home/apt,75,2,1,2016-06-18,1,1,363
9245031,Appart 2 pièces 30m2 coeur de Paris,47533120,Marie,,Batignolles-Monceau,48.892246074668364,2.323192674644769,Entire home/apt,49,1,0,,,1,0
5974899,—Jolie chambre de bonne/Nice room‘—,25157492,Anton,,Batignolles-Monceau,48.88271645682473,2.2955781811775204,Entire home/apt,26,8,4,2016-04-06,0.36,1,165
7514602,Hamelin paris,13730647,Quentin,,Batignolles-Monceau,48.88189188184064,2.291226155861223,Entire home/apt,150,1,5,2016-05-21,0.43,2,365
2272120,2 pièces avec balcon bd Courcelles,11600924,Nathalie,,Batignolles-Monceau,48.879376691404076,2.300793743954531,Entire home/apt,125,1,3,2016-01-21,0.20,1,365
6597598,Paris 17 flat for 2-4,34515140,Marie,,Batignolles-Monceau,48.88634960808024,2.3152864938853743,Entire home/apt,143,1,0,,,1,0
13585027,Studio cosy,78435593,Clara,,Batignolles-Monceau,48.894726547593464,2.321811937445052,Entire home/apt,60,1,1,2016-06-27,1,1,7
5964004,"Laugier, Duplex design",789620,Charlotte,,Batignolles-Monceau,48.88457478857875,2.292531108112881,Entire home/apt,321,3,0,,,60,179
3321127,Romantic - near Champs Elysées,13725286,Adel,,Batignolles-Monceau,48.8760404999121,2.2957245808315943,Entire home/apt,136,1,8,2015-09-15,0.69,1,0
7908791,Appt standing proche champs élysées,41702749,Jeremy,,Batignolles-Monceau,48.89550776838932,2.3073575366455095,Entire home/apt,90,1,0,,,1,0
10149356,"Elegant, Large, WALK to Ch. Elysees",51942470,Don,,Batignolles-Monceau,48.87712129152564,2.294409643747726,Entire home/apt,198,2,1,2016-04-05,0.33,1,365
1497295,Monceau - Ternes,4846708,Julia,,Batignolles-Monceau,48.88295442972547,2.2899430844203934,Entire home/apt,88,3,3,2015-01-31,0.14,6,135
13027771,Studio closed to Champs Elysées,761900,Luisa&Gilles,,Batignolles-Monceau,48.88221026097438,2.2874085610266937,Entire home/apt,251,1,0,,,1,8
1428230,rent my studio this summer,7679540,Snjezana,,Batignolles-Monceau,48.885641783597436,2.316815110101525,Entire home/apt,28,15,0,,,1,208
6429913,Chaleureux studio proche Montmartre,33556464,Francoise,,Batignolles-Monceau,48.892417315750954,2.3231051775933924,Entire home/apt,90,1,0,,,1,365
9610046,Super appartement quartier Levis,10717818,Cécile,,Batignolles-Monceau,48.887406143162934,2.3124377402100467,Entire home/apt,111,1,0,,,1,226
